District_Colline,Latitude,Longitude,"(Latitude,Longitude)"
Gasorwe_Burambira,-2.7291582,30.1489693,"-2.7291582,30.1489693"
Gitega_Bihororo coop,-3.3570233,29.8568383,"-3.3570233,29.8568383"
Gitega_Gihehe II,-3.3453642,29.854654,"-3.3453642,29.854654"
Gitega_Kiremera Cooperative Sangwe Coops,-3.3737291,29.9048393,"-3.3737291,29.9048393"
Karusi_Buhiga,-3.0229334,30.1739501,"-3.0229334,30.1739501"
Buhinyuza_Nyankurazo,-2.9703863,30.3264755,"-2.9703863,30.3264755"
Buhinyuza_Nyagishiru,-2.9919976,30.3238139,"-2.9919976,30.3238139"
Gitega_Kibogoye,-3.3604005,29.8776765,"-3.3604005,29.8776765"
Ngozi_Mivo,-2.9472394,29.7934594,"-2.9472394,29.7934594"
Muyinga_Bunywana,-2.7289536,30.4003196,"-2.7289536,30.4003196"
Muyinga_Rugari,-2.7288935,30.400548,"-2.7288935,30.400548"
Gasorwe_Nyagatovu,-2.7500712,30.1772943,"-2.7500712,30.1772943"
Mbuye_Nyarunazi I,-3.2917083,29.7654917,"-3.2917083,29.7654917"
Bweru_Ntunda,-3.3573091,30.3785522,"-3.3573091,30.3785522"
Nyabikere_Nyarunazi coop,-3.3228084,30.1219211,"-3.3228084,30.1219211"
Ngozi_Mwungere,-2.9509946,29.7744379,"-2.9509946,29.7744379"
Nyarusange_Kiganda,-3.6732411,29.689256,"-3.6732411,29.689256"
Gitega_Rutegama,-3.3402982,29.8845775,"-3.3402982,29.8845775"
Nyarusange_Buburu,-3.6730385,29.6892917,"-3.6730385,29.6892917"
Nyarusange_Bikingi Coops,-3.5727395,29.8071956,"-3.5727395,29.8071956"
Nyabikere_Kiryama II,-3.3313068,30.018829,"-3.3313068,30.018829"
Nyabikere_Kiryama,-3.3528399,30.009785,"-3.3528399,30.009785"
Ngozi_Mirango,-2.9461544,29.7674121,"-2.9461544,29.7674121"
Ngozi_Mirango,-2.9462174,29.7673298,"-2.9462174,29.7673298"
Gitega_Rweru,-3.3095137,29.8347211,"-3.3095137,29.8347211"
Gitega_Gihuga,-3.3095135,29.8345432,"-3.3095135,29.8345432"
Gitega_Gihuga,-3.3095293,29.8345652,"-3.3095293,29.8345652"
Muyinga_Kinazi,-2.6961226,30.4044056,"-2.6961226,30.4044056"
Gitega_Gihuga,-3.3095339,29.8345063,"-3.3095339,29.8345063"
Nyabikere_Gaharo,-3.2144484,30.0978207,"-3.2144484,30.0978207"
Gitaramuka_Rwizingwe,-2.9355355,30.2249148,"-2.9355355,30.2249148"
Nyabikere_Butamenwa,-3.2565906,30.1152218,"-3.2565906,30.1152218"
Ruyigi_Gahemba,-3.4542219,30.2405256,"-3.4542219,30.2405256"
Mbuye_Rugari,-3.2784214,29.7768184,"-3.2784214,29.7768184"
Mbuye_Munanira I,-3.2784617,29.776507,"-3.2784617,29.776507"
Rango_Nyabiyogi II,-3.1757768,29.7824605,"-3.1757768,29.7824605"
Rango_Rama,-3.1198191,29.7465589,"-3.1198191,29.7465589"
Rango_Nyabibuye I,-3.1239295,29.7571827,"-3.1239295,29.7571827"
Mbuye_Gasenyi,-3.2784597,29.7766747,"-3.2784597,29.7766747"
Makebuko_Kanyonga coop,-3.4931362,30.0451629,"-3.4931362,30.0451629"
Makebuko_Kanyonga,-3.4948385,30.0417119,"-3.4948385,30.0417119"
Makebuko_Rukobe 2 coop,-3.5184933,30.0511883,"-3.5184933,30.0511883"
Gitaramuka_Mugende,-3.018727,30.1198825,"-3.018727,30.1198825"
Gitaramuka_Gasekanya II,-3.0021096,30.0769037,"-3.0021096,30.0769037"
Gitaramuka_Gasekanya,-2.9911151,30.0581745,"-2.9911151,30.0581745"
Makebuko_Rukobe 2,-3.5345243,30.0491933,"-3.5345243,30.0491933"
Bweru_Gasenyi,-3.2834823,30.3960767,"-3.2834823,30.3960767"
Bweru_Rubavu,-3.2558544,30.4324101,"-3.2558544,30.4324101"
Rango_Musagara II,-3.1972671,29.7822592,"-3.1972671,29.7822592"
Giteranyi_Vumasi,-2.4217266,30.4122836,"-2.4217266,30.4122836"
Giteranyi_Rusenyi,-2.4184631,30.4347116,"-2.4184631,30.4347116"
Rango_Muzumure,-3.155878,29.7589032,"-3.155878,29.7589032"
Rango_Rusave,-3.1473518,29.8199677,"-3.1473518,29.8199677"
Rango_Gacokwe,-3.1741007,29.7543978,"-3.1741007,29.7543978"
Rango_Gipfuvya,-3.1544633,29.7593017,"-3.1544633,29.7593017"
Rango_Karama,-3.1557627,29.7588994,"-3.1557627,29.7588994"
Rango_Nyabiyogi I,-3.1696,29.768435,"-3.1696,29.768435"
Mwumba_Kididiri,-2.8356919,29.7427683,"-2.8356919,29.7427683"
Mwumba_Bitambwe,-2.8820686,29.7321176,"-2.8820686,29.7321176"
Bugendana_Carire,-3.2777992,29.8601246,"-3.2777992,29.8601246"
Bugendana_Runyeri I,-3.2770779,29.8576751,"-3.2770779,29.8576751"
Bugendana_Runyeri II,-3.2771746,29.8576491,"-3.2771746,29.8576491"
Giteranyi_Ruzo,-2.4050083,30.4376533,"-2.4050083,30.4376533"
Ngozi_Hina,-2.9218276,29.7599336,"-2.9218276,29.7599336"
